,estado,municipio,casosAcumulado,obitosAcumulado
4799,RO,Alta Floresta D'Oeste,9190,84
4959,RO,Ariquemes,37165,567
5119,RO,Cabixi,1919,23
5279,RO,Cacoal,31757,358
5439,RO,Cerejeiras,6604,74
5599,RO,Colorado do Oeste,4840,56
5759,RO,Corumbiara,2338,25
5919,RO,Costa Marques,4800,45
6079,RO,Espigão D'Oeste,7980,92
6239,RO,Guajará-Mirim,7148,247
6399,RO,Jaru,13966,209
6559,RO,Ji-Paraná,36921,670
6719,RO,Machadinho D'Oeste,12883,132
6879,RO,Nova Brasilândia D'Oeste,5405,40
7039,RO,Ouro Preto do Oeste,9315,177
7199,RO,Pimenta Bueno,13581,131
7359,RO,Porto Velho,129886,2755
7519,RO,Presidente Médici,6951,101
7679,RO,Rio Crespo,1857,14
7839,RO,Rolim de Moura,14565,213
7999,RO,Santa Luzia D'Oeste,2580,29
8159,RO,Vilhena,25498,332
8319,RO,São Miguel do Guaporé,4626,64
8479,RO,Nova Mamoré,7394,98
8639,RO,Alvorada D'Oeste,4752,46
8799,RO,Alto Alegre dos Parecis,2413,52
8959,RO,Alto Paraíso,4606,65
9119,RO,Buritis,13964,106
9279,RO,Novo Horizonte do Oeste,1426,24
9439,RO,Cacaulândia,2397,17
9599,RO,Campo Novo de Rondônia,3805,29
9759,RO,Candeias do Jamari,6283,87
9919,RO,Castanheiras,521,11
10079,RO,Chupinguaia,3094,29
10239,RO,Cujubim,5048,45
10399,RO,Governador Jorge Teixeira,1380,22
10559,RO,Itapuã do Oeste,2507,20
10719,RO,Ministro Andreazza,1350,16
10879,RO,Mirante da Serra,2185,18
11039,RO,Monte Negro,4689,40
11199,RO,Nova União,1567,17
11359,RO,Parecis,895,10
11519,RO,Pimenteiras do Oeste,831,17
11679,RO,Primavera de Rondônia,600,7
11839,RO,São Felipe D'Oeste,1772,19
11999,RO,São Francisco do Guaporé,6115,61
12159,RO,Seringueiras,3666,26
12319,RO,Teixeirópolis,1176,9
12479,RO,Theobroma,1624,28
12639,RO,Urupá,3249,41
12799,RO,Vale do Anari,2907,26
12959,RO,Vale do Paraíso,2009,29
13119,AC,Acrelândia,3489,40
13279,AC,Assis Brasil,2271,26
13439,AC,Brasiléia,4106,52
13599,AC,Bujari,1666,19
13759,AC,Capixaba,1206,19
13919,AC,Cruzeiro do Sul,17277,188
14079,AC,Epitaciolândia,2217,40
14239,AC,Feijó,4096,69
14399,AC,Jordão,738,2
14559,AC,Mâncio Lima,3157,37
14719,AC,Manoel Urbano,1196,17
14879,AC,Marechal Thaumaturgo,1898,15
15039,AC,Plácido de Castro,3838,28
15199,AC,Porto Walter,575,7
15359,AC,Rio Branco,87858,1222
15519,AC,Rodrigues Alves,1103,14
15679,AC,Santa Rosa do Purus,1209,7
15839,AC,Senador Guiomard,3341,44
15999,AC,Sena Madureira,9037,87
16159,AC,Tarauacá,7078,50
16319,AC,Xapuri,3614,33
16479,AC,Porto Acre,2667,42
16639,AM,Alvarães,4115,46
16799,AM,Amaturá,2663,19
16959,AM,Anamã,2555,11
17119,AM,Anori,2670,33
17279,AM,Apuí,2449,36
17439,AM,Atalaia do Norte,4270,11
17599,AM,Autazes,4250,102
17759,AM,Barcelos,5419,61
17919,AM,Barreirinha,4146,69
18079,AM,Benjamin Constant,4162,89
18239,AM,Beruri,2982,35
18399,AM,Boa Vista do Ramos,1919,14
18559,AM,Boca do Acre,4954,34
18719,AM,Borba,4111,71
18879,AM,Caapiranga,1178,24
19039,AM,Canutama,2073,11
19199,AM,Carauari,7973,59
19359,AM,Careiro,6765,93
19519,AM,Careiro da Várzea,2409,28
19679,AM,Coari,11927,249
19839,AM,Codajás,3219,28
19999,AM,Eirunepé,5913,35
20159,AM,Envira,3639,14
20319,AM,Fonte Boa,1905,45
20479,AM,Guajará,2307,31
20639,AM,Humaitá,12067,160
20799,AM,Ipixuna,6771,21
20959,AM,Iranduba,14232,178
21119,AM,Itacoatiara,17771,338
21279,AM,Itamarati,1132,9
21439,AM,Itapiranga,4074,46
21599,AM,Japurá,1251,12
21759,AM,Juruá,1100,18
21919,AM,Jutaí,5728,44
22079,AM,Lábrea,10056,87
22239,AM,Manacapuru,12874,421
22399,AM,Manaquiri,3085,55
22559,AM,Manaus,318245,9942
22719,AM,Manicoré,8688,110
22879,AM,Maraã,2891,23
23039,AM,Maués,7912,139
23199,AM,Nhamundá,2359,42
23359,AM,Nova Olinda do Norte,3271,71
23519,AM,Novo Airão,3890,37
