,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
160,Norte,RO,,11,,,,2023-01-01,1,1777225.0,471673,0,7399,0,,,
161,Norte,RO,,11,,,,2023-01-02,1,1777225.0,472112,439,7400,1,,,
162,Norte,RO,,11,,,,2023-01-03,1,1777225.0,472459,347,7401,1,,,
163,Norte,RO,,11,,,,2023-01-04,1,1777225.0,473198,739,7404,3,,,
164,Norte,RO,,11,,,,2023-01-05,1,1777225.0,473724,526,7406,2,,,
165,Norte,RO,,11,,,,2023-01-06,1,1777225.0,474137,413,7406,0,,,
166,Norte,RO,,11,,,,2023-01-07,1,1777225.0,474455,318,7407,1,,,
167,Norte,RO,,11,,,,2023-01-08,2,1777225.0,474578,123,7409,2,,,
168,Norte,RO,,11,,,,2023-01-09,2,1777225.0,474912,334,7412,3,,,
169,Norte,RO,,11,,,,2023-01-10,2,1777225.0,475429,517,7412,0,,,
170,Norte,RO,,11,,,,2023-01-11,2,1777225.0,475973,544,7414,2,,,
171,Norte,RO,,11,,,,2023-01-12,2,1777225.0,476629,656,7414,0,,,
172,Norte,RO,,11,,,,2023-01-13,2,1777225.0,476983,354,7415,1,,,
173,Norte,RO,,11,,,,2023-01-14,2,1777225.0,477118,135,7415,0,,,
174,Norte,RO,,11,,,,2023-01-15,3,1777225.0,477135,17,7415,0,,,
175,Norte,RO,,11,,,,2023-01-16,3,1777225.0,477195,60,7417,2,,,
176,Norte,RO,,11,,,,2023-01-17,3,1777225.0,477626,431,7418,1,,,
177,Norte,RO,,11,,,,2023-01-18,3,1777225.0,478071,445,7418,0,,,
178,Norte,RO,,11,,,,2023-01-19,3,1777225.0,478263,192,7418,0,,,
179,Norte,RO,,11,,,,2023-01-20,3,1777225.0,478445,182,7418,0,,,
180,Norte,RO,,11,,,,2023-01-21,3,1777225.0,478562,117,7418,0,,,
181,Norte,RO,,11,,,,2023-01-22,4,1777225.0,478570,8,7418,0,,,
182,Norte,RO,,11,,,,2023-01-23,4,1777225.0,478714,144,7418,0,,,
183,Norte,RO,,11,,,,2023-01-24,4,1777225.0,478822,108,7418,0,,,
184,Norte,RO,,11,,,,2023-01-25,4,1777225.0,479385,563,7420,2,,,
185,Norte,RO,,11,,,,2023-01-26,4,1777225.0,479573,188,7425,5,,,
186,Norte,RO,,11,,,,2023-01-27,4,1777225.0,479770,197,7424,-1,,,
187,Norte,RO,,11,,,,2023-01-28,4,1777225.0,479887,117,7424,0,,,
188,Norte,RO,,11,,,,2023-01-29,5,1777225.0,479887,0,7424,0,,,
189,Norte,RO,,11,,,,2023-01-30,5,1777225.0,480883,996,7425,1,,,
190,Norte,RO,,11,,,,2023-01-31,5,1777225.0,481042,159,7425,0,,,
191,Norte,RO,,11,,,,2023-02-01,5,1777225.0,481211,169,7425,0,,,
192,Norte,RO,,11,,,,2023-02-02,5,1777225.0,481283,72,7426,1,,,
193,Norte,RO,,11,,,,2023-02-03,5,1777225.0,481336,53,7426,0,,,
194,Norte,RO,,11,,,,2023-02-04,5,1777225.0,481511,175,7426,0,,,
195,Norte,RO,,11,,,,2023-02-05,6,1777225.0,481516,5,7426,0,,,
196,Norte,RO,,11,,,,2023-02-06,6,1777225.0,481525,9,7426,0,,,
197,Norte,RO,,11,,,,2023-02-07,6,1777225.0,481594,69,7428,2,,,
198,Norte,RO,,11,,,,2023-02-08,6,1777225.0,481639,45,7427,-1,,,
199,Norte,RO,,11,,,,2023-02-09,6,1777225.0,481711,72,7427,0,,,
200,Norte,RO,,11,,,,2023-02-10,6,1777225.0,481815,104,7427,0,,,
201,Norte,RO,,11,,,,2023-02-11,6,1777225.0,481871,56,7427,0,,,
202,Norte,RO,,11,,,,2023-02-12,7,1777225.0,481871,0,7427,0,,,
203,Norte,RO,,11,,,,2023-02-13,7,1777225.0,482052,181,7426,-1,,,
204,Norte,RO,,11,,,,2023-02-14,7,1777225.0,482147,95,7426,0,,,
205,Norte,RO,,11,,,,2023-02-15,7,1777225.0,482172,25,7426,0,,,
206,Norte,RO,,11,,,,2023-02-16,7,1777225.0,482212,40,7428,2,,,
207,Norte,RO,,11,,,,2023-02-17,7,1777225.0,482309,97,7428,0,,,
208,Norte,RO,,11,,,,2023-02-18,7,1777225.0,482330,21,7428,0,,,
209,Norte,RO,,11,,,,2023-02-19,8,1777225.0,482337,7,7428,0,,,
210,Norte,RO,,11,,,,2023-02-20,8,1777225.0,482358,21,7428,0,,,
211,Norte,RO,,11,,,,2023-02-21,8,1777225.0,482368,10,7428,0,,,
212,Norte,RO,,11,,,,2023-02-22,8,1777225.0,482422,54,7428,0,,,
213,Norte,RO,,11,,,,2023-02-23,8,1777225.0,482444,22,7428,0,,,
214,Norte,RO,,11,,,,2023-02-24,8,1777225.0,482543,99,7429,1,,,
215,Norte,RO,,11,,,,2023-02-25,8,1777225.0,482599,56,7429,0,,,
216,Norte,RO,,11,,,,2023-02-26,9,1777225.0,482600,1,7429,0,,,
217,Norte,RO,,11,,,,2023-02-27,9,1777225.0,482654,54,7430,1,,,
218,Norte,RO,,11,,,,2023-02-28,9,1777225.0,482731,77,7430,0,,,
219,Norte,RO,,11,,,,2023-03-01,9,1777225.0,482763,32,7430,0,,,
220,Norte,RO,,11,,,,2023-03-02,9,1777225.0,482869,106,7431,1,,,
221,Norte,RO,,11,,,,2023-03-03,9,1777225.0,482910,41,7432,1,,,
222,Norte,RO,,11,,,,2023-03-04,9,1777225.0,482910,0,7432,0,,,
223,Norte,RO,,11,,,,2023-03-05,10,1777225.0,482910,0,7432,0,,,
224,Norte,RO,,11,,,,2023-03-06,10,1777225.0,482910,0,7432,0,,,
225,Norte,RO,,11,,,,2023-03-07,10,1777225.0,482910,0,7432,0,,,
226,Norte,RO,,11,,,,2023-03-08,10,1777225.0,482910,0,7432,0,,,
227,Norte,RO,,11,,,,2023-03-09,10,1777225.0,482910,0,7432,0,,,
228,Norte,RO,,11,,,,2023-03-10,10,1777225.0,482910,0,7432,0,,,
229,Norte,RO,,11,,,,2023-03-11,10,1777225.0,483211,301,7430,-2,,,
230,Norte,RO,,11,,,,2023-03-12,11,1777225.0,483211,0,7430,0,,,
231,Norte,RO,,11,,,,2023-03-13,11,1777225.0,483211,0,7430,0,,,
232,Norte,RO,,11,,,,2023-03-14,11,1777225.0,483211,0,7430,0,,,
233,Norte,RO,,11,,,,2023-03-15,11,1777225.0,483211,0,7430,0,,,
234,Norte,RO,,11,,,,2023-03-16,11,1777225.0,483211,0,7430,0,,,
235,Norte,RO,,11,,,,2023-03-17,11,1777225.0,483211,0,7430,0,,,
236,Norte,RO,,11,,,,2023-03-18,11,1777225.0,483456,245,7430,0,,,
237,Norte,RO,,11,,,,2023-03-19,12,1777225.0,483456,0,7430,0,,,
238,Norte,RO,,11,,,,2023-03-20,12,1777225.0,483456,0,7430,0,,,
239,Norte,RO,,11,,,,2023-03-21,12,1777225.0,483456,0,7430,0,,,
240,Norte,RO,,11,,,,2023-03-22,12,1777225.0,483456,0,7430,0,,,
241,Norte,RO,,11,,,,2023-03-23,12,1777225.0,483456,0,7430,0,,,
242,Norte,RO,,11,,,,2023-03-24,12,1777225.0,483456,0,7430,0,,,
243,Norte,RO,,11,,,,2023-03-25,12,1777225.0,483692,236,7433,3,,,
244,Norte,RO,,11,,,,2023-03-26,13,1777225.0,483692,0,7433,0,,,
245,Norte,RO,,11,,,,2023-03-27,13,1777225.0,483692,0,7433,0,,,
246,Norte,RO,,11,,,,2023-03-28,13,1777225.0,483692,0,7433,0,,,
247,Norte,RO,,11,,,,2023-03-29,13,1777225.0,483692,0,7433,0,,,
248,Norte,RO,,11,,,,2023-03-30,13,1777225.0,483692,0,7433,0,,,
249,Norte,RO,,11,,,,2023-03-31,13,1777225.0,483692,0,7433,0,,,
250,Norte,RO,,11,,,,2023-04-01,13,1777225.0,483782,90,7433,0,,,
251,Norte,RO,,11,,,,2023-04-02,14,1777225.0,483782,0,7433,0,,,
252,Norte,RO,,11,,,,2023-04-03,14,1777225.0,483782,0,7433,0,,,
253,Norte,RO,,11,,,,2023-04-04,14,1777225.0,483782,0,7433,0,,,
254,Norte,RO,,11,,,,2023-04-05,14,1777225.0,483782,0,7433,0,,,
255,Norte,RO,,11,,,,2023-04-06,14,1777225.0,483782,0,7433,0,,,
256,Norte,RO,,11,,,,2023-04-07,14,1777225.0,483782,0,7433,0,,,
257,Norte,RO,,11,,,,2023-04-08,14,1777225.0,483924,142,7433,0,,,
258,Norte,RO,,11,,,,2023-04-09,15,1777225.0,483924,0,7433,0,,,
259,Norte,RO,,11,,,,2023-04-10,15,1777225.0,483924,0,7433,0,,,
260,Norte,RO,,11,,,,2023-04-11,15,1777225.0,483924,0,7433,0,,,
261,Norte,RO,,11,,,,2023-04-12,15,1777225.0,483924,0,7433,0,,,
262,Norte,RO,,11,,,,2023-04-13,15,1777225.0,483924,0,7433,0,,,
263,Norte,RO,,11,,,,2023-04-14,15,1777225.0,483924,0,7433,0,,,
264,Norte,RO,,11,,,,2023-04-15,15,1777225.0,483924,0,7433,0,,,
265,Norte,RO,,11,,,,2023-04-16,16,1777225.0,483924,0,7433,0,,,
266,Norte,RO,,11,,,,2023-04-17,16,1777225.0,483924,0,7433,0,,,
267,Norte,RO,,11,,,,2023-04-18,16,1777225.0,483924,0,7433,0,,,
268,Norte,RO,,11,,,,2023-04-19,16,1777225.0,483924,0,7433,0,,,
269,Norte,RO,,11,,,,2023-04-20,16,1777225.0,483924,0,7433,0,,,
270,Norte,RO,,11,,,,2023-04-21,16,1777225.0,483924,0,7433,0,,,
271,Norte,RO,,11,,,,2023-04-22,16,1777225.0,484458,534,7435,2,,,
272,Norte,RO,,11,,,,2023-04-23,17,1777225.0,484458,0,7435,0,,,
273,Norte,RO,,11,,,,2023-04-24,17,1777225.0,484458,0,7435,0,,,
274,Norte,RO,,11,,,,2023-04-25,17,1777225.0,484458,0,7435,0,,,
275,Norte,RO,,11,,,,2023-04-26,17,1777225.0,484458,0,7435,0,,,
276,Norte,RO,,11,,,,2023-04-27,17,1777225.0,484458,0,7435,0,,,
277,Norte,RO,,11,,,,2023-04-28,17,1777225.0,484458,0,7435,0,,,
278,Norte,RO,,11,,,,2023-04-29,17,1777225.0,484626,168,7440,5,,,
279,Norte,RO,,11,,,,2023-04-30,18,1777225.0,484626,0,7440,0,,,
280,Norte,RO,,11,,,,2023-05-01,18,1777225.0,484626,0,7440,0,,,
281,Norte,RO,,11,,,,2023-05-02,18,1777225.0,484626,0,7440,0,,,
282,Norte,RO,,11,,,,2023-05-03,18,1777225.0,484626,0,7440,0,,,
283,Norte,RO,,11,,,,2023-05-04,18,1777225.0,484626,0,7440,0,,,
284,Norte,RO,,11,,,,2023-05-05,18,1777225.0,484626,0,7440,0,,,
285,Norte,RO,,11,,,,2023-05-06,18,1777225.0,484810,184,7443,3,,,
286,Norte,RO,,11,,,,2023-05-07,19,1777225.0,484810,0,7443,0,,,
287,Norte,RO,,11,,,,2023-05-08,19,1777225.0,484810,0,7443,0,,,
288,Norte,RO,,11,,,,2023-05-09,19,1777225.0,484810,0,7443,0,,,
289,Norte,RO,,11,,,,2023-05-10,19,1777225.0,484810,0,7443,0,,,
290,Norte,RO,,11,,,,2023-05-11,19,1777225.0,484810,0,7443,0,,,
291,Norte,RO,,11,,,,2023-05-12,19,1777225.0,484810,0,7443,0,,,
292,Norte,RO,,11,,,,2023-05-13,19,1777225.0,485043,233,7444,1,,,
293,Norte,RO,,11,,,,2023-05-14,20,1777225.0,485043,0,7444,0,,,
294,Norte,RO,,11,,,,2023-05-15,20,1777225.0,485043,0,7444,0,,,
295,Norte,RO,,11,,,,2023-05-16,20,1777225.0,485043,0,7444,0,,,
296,Norte,RO,,11,,,,2023-05-17,20,1777225.0,485043,0,7444,0,,,
297,Norte,RO,,11,,,,2023-05-18,20,1777225.0,485043,0,7444,0,,,
298,Norte,RO,,11,,,,2023-05-19,20,1777225.0,485043,0,7444,0,,,
299,Norte,RO,,11,,,,2023-05-20,20,1777225.0,485351,308,7447,3,,,
300,Norte,RO,,11,,,,2023-05-21,21,1777225.0,485351,0,7447,0,,,
301,Norte,RO,,11,,,,2023-05-22,21,1777225.0,485351,0,7447,0,,,
302,Norte,RO,,11,,,,2023-05-23,21,1777225.0,485351,0,7447,0,,,
